sno,value,id,latitude,longitude,hasMenu,rating
88,210,Charm Juk,32.98558805,-96.91259901,TRUE,7.9
89,485,Inca's Cafe,32.98961466,-96.889261,TRUE,7.4
90,947,Secret Recipe Asian Bistro,33.02078784,-96.928158,TRUE,7.9
91,2848,Tijuana Flats,33.2044799,-97.11246,TRUE,7.9
92,3235,Old West Cafe,33.19872596,-97.12415904,TRUE,8.8
93,4220,Mellow Mushroom,33.21471929,-97.13016187,TRUE,9
94,5720,Fuzzy's Taco Shop,33.213679,-97.1300894,TRUE,8.8
95,4682,Rooster's Roadhouse,33.21378914,-97.13012427,TRUE,8.8
96,1243,Zera Coffee Company,33.2162537,-97.12729125,TRUE,8.5
97,1238,Rusty Taco Denton,33.21430308,-97.13059826,TRUE,8.7
98,210,Tex Tapas,33.21403539,-97.13007249,TRUE,8.5
99,739,Barley & Board,33.21575033,-97.13253312,TRUE,8.9
100,2269,Hooters,33.193377,-97.119631,TRUE,8.4
101,2125,LSA Burger Co.,33.21440377,-97.13317458,TRUE,8.7
102,624,Ravelin Baking Company,33.21093971,-97.13388991,TRUE,8.5
103,427,La Tortilleria Sabrocita,33.20502129,-97.1307297,TRUE,8.1
104,1017,Andaman Thai Restaurant,33.214644,-97.129924,TRUE,8.2
105,151,Taqueria Guanajuato,33.21621358,-97.12050855,TRUE,7.7
106,2146,Loco Cafe,33.2195002,-97.13259096,TRUE,9
107,189,Pizza Snob,33.21457364,-97.13611381,TRUE,8.9
108,722,Hoochie's Oyster House,33.21433908,-97.13039847,TRUE,8.1
109,3089,"Rudy's ""Country Store"" and Bar-B-Q",33.19303396,-97.12595612,TRUE,8.4
110,592,Hypnotic Donuts & Cultivar Coffee,33.21430804,-97.13547232,TRUE,8.6
111,1424,Seven Mile Cafe,33.21910228,-97.13531458,TRUE,9.1
112,767,Metzler's,33.18976605,-97.12538283,TRUE,8.7
113,212,Corner Bakery Cafe,33.18804533,-97.10824101,TRUE,8.8
114,1492,J & J's Pizza On The Square,33.21555321,-97.1334217,TRUE,8.1
115,423,Gobi,33.19497025,-97.12346394,TRUE,7.8
116,1646,La Milpa,33.19226607,-97.12262281,TRUE,8
117,156,Keiichi Japanese Restaurant,33.218334,-97.13317394,TRUE,8.1
118,3001,Greenhouse Restaurant & Bar,33.21951618,-97.13219662,TRUE,8.1
119,1101,Cartwright's Ranch House,33.21504117,-97.13380553,TRUE,7.9
120,150,The Pickled Carrot Food Truck,33.21604147,-97.13173393,TRUE,8.4
121,359,Papa Gallo's,33.32504019,-96.78593531,TRUE,7.3
122,384,Palio's Pizza Cafe,33.236216,-96.788074,TRUE,8.7
123,29,Chef's On Scene,33.23620551,-96.78861848,TRUE,8
124,1186,Whataburger,33.21798976,-96.73380618,TRUE,8.2
125,664,Mesa's Mexican Grill,33.219302,-96.772825,TRUE,8.3
126,947,"MOOYAH Burgers, Fries & Shakes",33.21406406,-96.73406877,TRUE,8
127,228,Taco Bueno,33.219147,-96.733438,TRUE,7.7
128,1111,Ernesto's Fine Mexican Food,33.21504669,-96.73512248,TRUE,7.7
129,38,Subway,33.28671496,-96.78280247,TRUE,6.8
130,126,JC's Burger House Prosper,33.23591061,-96.78858187,TRUE,7.3
131,169,SONIC Drive In,33.3097156,-96.78258777,TRUE,6.5
132,310,Lucy's on the Square,33.324495,-96.786295,TRUE,6.5
133,54,Dickey's Barbecue Pit,33.287302,-96.782524,TRUE,6.5
134,83,Subway,33.24748172,-96.78570518,TRUE,6.6
135,0,Chick-Fil-A,33.337639,-96.726371,TRUE,6.6
136,342,Subway,33.21493557,-96.7348873,TRUE,6.4
137,49,Pizza Hut,33.24657271,-96.7860339,TRUE,6.6
138,36,Popeyes Louisiana Kitchen,33.21923621,-96.73613113,TRUE,6.6
139,60,Papa John's Pizza,33.219259,-96.772529,TRUE,5.8
