sno,value,id,latitude,longitude,hasMenu,rating
91,149,Thai Place,43.840788,-70.44364929,TRUE,7.2
92,108,Village Donut Shop & Bakery,43.882002,-70.46573,TRUE,7.3
93,235,A La Mexicana,43.87979117,-70.46514098,TRUE,7.3
94,226,Pizza Hut,43.83989139,-70.44262837,TRUE,6.9
95,141,Danielle's Sebago Diner,43.88505673,-70.46455603,TRUE,7.1
96,309,SUBWAY,43.83709613,-70.44021606,TRUE,6.6
97,207,Fishermens Catch,43.885746,-70.465077,TRUE,6.7
98,686,Rustler's Steak House,43.83469703,-70.43979785,TRUE,6.5
99,905,Cole Farms,43.90004965,-70.32632533,TRUE,8
100,19,Dunkin' Donuts,43.84996968,-70.44968451,TRUE,6.4
101,131,DiSantos,43.8571646,-70.378875,TRUE,6.8
102,170,Dunkin Donuts,43.83782876,-70.444231,TRUE,6.2
103,41,Domino's Pizza,43.82374954,-70.43464293,TRUE,6.4
104,281,Little Caesars Pizza,43.83370199,-70.43737083,TRUE,6.3
105,640,McDonald's,43.8385058,-70.44270449,TRUE,6.2
106,265,Wendy's,43.84209617,-70.44446235,TRUE,6.1
107,47,KFC,43.83537884,-70.43898521,TRUE,6.1
108,360,Green Leaf,43.83600026,-70.43873393,TRUE,5.9
109,213,Burger King,43.83908021,-70.44204606,TRUE,5.8
110,2662,The Front Room,43.66721093,-70.24634402,TRUE,8.8
111,7101,Duckfat,43.66013832,-70.25033631,TRUE,9.3
112,5517,Eventide Oyster Co.,43.65958256,-70.25119543,TRUE,9.5
113,1192,158 Pickett St. Cafe,43.64735262,-70.23218797,TRUE,8.8
114,2616,The Standard Baking Co.,43.657782,-70.250575,TRUE,9.6
115,4290,Flatbread Company,43.65715476,-70.24986036,TRUE,9
116,3617,Fore Street,43.65801077,-70.25087357,TRUE,9.1
117,225,Scales,43.656911,-70.249902,TRUE,8.8
118,1819,Hilltop Coffee Shop,43.66643864,-70.2471166,TRUE,8.2
119,2667,Scratch Baking Co.,43.63940548,-70.23079598,TRUE,9.1
120,520,The Honey Paw,43.65971814,-70.25106257,TRUE,8.6
121,670,Hugo's,43.65935147,-70.25170084,TRUE,8.6
122,1322,Benkay Japanese Restaurant & Sushi Bar,43.659444,-70.248678,TRUE,8.4
123,167,Lolita,43.66664,-70.24677,TRUE,8.1
124,331,peaks cafe,43.65554627,-70.19830227,TRUE,7.5
125,4161,DiMillo's on the Water,43.65436025,-70.25066631,TRUE,8.7
126,1068,Harbor Fish Market,43.65642553,-70.25052955,TRUE,8.6
127,1195,The Crooked Mile,43.65752663,-70.25291,TRUE,8.6
128,748,Blue Spoon,43.666681,-70.246906,TRUE,8
129,940,Micucci's Grocery,43.66039818,-70.24959,TRUE,8.3
130,2748,Silly's Restaurant,43.6646539,-70.25201295,TRUE,8.3
131,350,3 Buoys Seafood and Shanty Grill,43.66393244,-70.25157573,TRUE,8.2
