id,checkins,name,latitude,longitude,hasMenu,rating
87,8120,Blue Dahlia Bistro,30.268749,-97.728744,TRUE,9.1
88,1796,Bufalina,30.25843393,-97.7288525,TRUE,9.3
89,821,Veracruz All Natural,30.26442131,-97.72793495,TRUE,8.5
90,100,Kemuri Tatsu-ya,30.253865,-97.712901,TRUE,8.2
91,943,Jeffrey's,30.28042859,-97.75914361,TRUE,9.3
92,1332,Josephine House,30.28068755,-97.75903749,TRUE,9.2
93,5665,Maudie's Cafe,30.28270841,-97.775674,TRUE,8.6
94,12173,Magnolia Cafe,30.27794709,-97.77174354,TRUE,9.2
95,154,The Beer Plant,30.296736,-97.76765,TRUE,7.8
96,6776,Galaxy Cafe,30.279413,-97.760049,TRUE,8.6
97,5865,Zocalo Cafe,30.28001492,-97.75941422,TRUE,8.6
98,1360,Fabi + Rosi,30.279002,-97.772771,TRUE,8.7
99,1475,Thundercloud Subs,30.278076,-97.77217066,TRUE,8.8
100,3377,Freedmen's,30.28840381,-97.7478373,TRUE,9.2
101,362,Lucky's Puccias & Pizzeria,30.2737404,-97.76354778,TRUE,8.9
102,18501,Hula Hut,30.29475988,-97.78441161,TRUE,8.7
103,4712,Sushi Zushi,30.27446041,-97.7645507,TRUE,8.5
104,2665,Clark's Oyster Bar,30.27284792,-97.75713264,TRUE,9.3
105,11333,Pluckers Wing Bar,30.28623456,-97.74523258,TRUE,8.8
106,2640,Fricano's Deli & Catering,30.28811636,-97.74288771,TRUE,9.3
107,3024,Fresa's Chicken al Carbon,30.27458836,-97.75223546,TRUE,8.9
108,652,Cream Whiskers,30.28623113,-97.74578421,TRUE,8.6
109,2540,Austin Land & Cattle,30.27760491,-97.7508242,TRUE,8.5
110,2126,Texas French Bread,30.29618963,-97.74393,TRUE,9
111,1204,Cabo Bob's,30.29577365,-97.74406539,TRUE,8.9
112,294,Tarry House,30.30021,-97.770607,TRUE,7.5
113,10792,Torchy's Tacos,30.29357856,-97.74197528,TRUE,9.2
114,25094,24 Diner,30.27198491,-97.75403194,TRUE,9
115,1342,Lucky's Puccias,30.2716672,-97.75784364,TRUE,8.6
116,2554,Snap Kitchen,30.27192467,-97.75472911,TRUE,8.8
117,71,Toastie's Sub Shop,30.28858425,-97.74829885,TRUE,7.9
118,10240,Z'Tejas Mexican Restaurant and Grill,30.2724566,-97.7557666,TRUE,8.5
119,2037,Winflo Osteria,30.27359957,-97.75995014,TRUE,8.1
120,12312,Torchy's Tacos,30.23677527,-97.76275183,TRUE,9.3
121,1407,Winebelly,30.24140979,-97.75900565,TRUE,9.1
122,2601,East Side King,30.24750849,-97.77471862,TRUE,9
123,3429,El Tacorrido,30.24240807,-97.759668,TRUE,8.5
124,812,Snooze,30.25092226,-97.76590386,TRUE,9.5
125,1528,El Primo Taco Truck,30.24645606,-97.76030565,TRUE,8.7
126,13295,Matt's el Rancho,30.24523467,-97.77926176,TRUE,8.8
127,236,Flying Carpet,30.241806,-97.758293,TRUE,8.6
128,557,G's Dynamite Deli,30.2425,-97.75921,TRUE,8.4
129,1820,Chipotle Mexican Grill,30.24755267,-97.77548818,TRUE,8.4
130,9162,Chilantro BBQ,30.25143991,-97.7646356,TRUE,9
131,16197,Bouldin Creek Café,30.24646315,-97.75677681,TRUE,9.4
132,5892,Maria's Taco Xpress,30.24582363,-97.77834177,TRUE,8.5
133,3228,Habanero Mexican Cafe,30.24132976,-97.75819914,TRUE,8.3
134,355,PitaLicious,30.24972924,-97.76827063,TRUE,8.3
135,4149,Papalote Taco House,30.24357602,-97.78187314,TRUE,8.9
136,1559,Chi'lantro,30.25215565,-97.76417394,TRUE,9.1
137,3011,Sugar Mama's Bakeshop,30.246179,-97.75643825,TRUE,8.9
138,1617,Mr. Natural,30.24703947,-97.77737229,TRUE,8.3
139,11978,Torchy's Tacos,30.24171118,-97.7842829,TRUE,9.4
140,19290,Kerbey Lane Cafe,30.24208123,-97.78365126,TRUE,9
141,720,Alcomar,30.24677,-97.756351,TRUE,8.8
142,3042,Habana Restaurant & Bar,30.23485327,-97.7572706,TRUE,8.5
143,2480,Thundercloud Subs,30.243642,-97.781893,TRUE,8.5
144,280,Fresa's Chicken Al Carbon,30.247585,-97.75563,TRUE,9.2
145,1342,Lenoir,30.24687561,-97.75581148,TRUE,8.7
146,277,Poke Poke,30.231805,-97.75932,TRUE,8.5
147,12449,Polvos Mexican Restaurant,30.24535095,-97.75742054,TRUE,8.2
148,3697,Ramen Tatsu-ya,30.25393,-97.7632,TRUE,9
149,1867,Barlata,30.25227417,-97.76434905,TRUE,8.5
150,1821,Taco Joint,30.29159323,-97.73501046,TRUE,8.6
151,1855,Sao Paulo's,30.29157079,-97.73510456,TRUE,8.4
152,16191,Kerbey Lane Café,30.29141,-97.741414,TRUE,8.7
153,19236,Trudy's Texas Star,30.295683,-97.740928,TRUE,8.6
154,1819,The Halal Bros,30.292392,-97.741526,TRUE,8.4
155,320,Daito,30.292992,-97.74166,TRUE,8.2
156,4353,Hopfields,30.29854953,-97.74098103,TRUE,9.2
157,672,Via 313,30.29780145,-97.74133341,TRUE,8.7
158,944,"Black's BBQ, The Original",30.2985092,-97.74131219,TRUE,8.7
159,467,Fat Sal's,30.29091702,-97.74144481,TRUE,8.1
160,4285,Madam Mam's,30.289616,-97.741473,TRUE,8.2
161,3330,FoodHeads,30.30073177,-97.74041533,TRUE,9.2
162,2110,Milto's,30.29549197,-97.74250046,TRUE,8.1
163,1768,VertsKebap,30.28989356,-97.7415757,TRUE,8
164,1079,El Patio,30.29667596,-97.74222991,TRUE,8.1
165,731,Wildwood Bakehouse,30.2979905,-97.74162517,TRUE,8.1
166,2810,Thai Kitchen,30.29682,-97.741655,TRUE,7.9
167,153,Don Japanese Food Truck,30.28815969,-97.74393808,TRUE,8.3
168,2569,Dirty Martin's Place,30.29410816,-97.74236253,TRUE,7.7
169,2004,Thundercloud Subs,30.29938406,-97.74056953,TRUE,8.1
170,68,Greek Original Gyros,30.29516753,-97.74209729,TRUE,7.6
171,2022,Salvation Pizza,30.300835,-97.740692,TRUE,8.2
172,878,Conans Pizza Central,30.29536896,-97.74329603,TRUE,7.7
173,1942,Tâm Deli and Cafe,30.35151414,-97.70870632,TRUE,8.8
174,9559,Ramen Tatsu-ya,30.36109101,-97.715414,TRUE,9.2
175,2242,Kim Phung,30.34384775,-97.71433755,TRUE,8.6
176,2137,Phó Vân,30.36120976,-97.71545112,TRUE,8.8
177,3780,Din Ho Chinese BBQ,30.361307,-97.715793,TRUE,8.5
178,4731,Little Deli & Pizzeria,30.34266177,-97.72558015,TRUE,9.4
179,1050,Sunflower Restaurant,30.36193013,-97.71552259,TRUE,8.4
180,2680,Tan My Restaurant,30.36377358,-97.71417847,TRUE,8.7
181,4542,Enchiladas y Mas,30.353992,-97.72678156,TRUE,8.3
182,1534,Mi Tradición,30.36338943,-97.71927452,TRUE,8.6
183,671,Chago's Caribbean Cuisine,30.34031764,-97.71705258,TRUE,8.4
